Collection,Hadith Number,Narrated By,Hadith Text,Pillar
muslim,52,Abu Huraira reported Allah's Messenger (ﷺ) as saying:,"A bulky person would be brought on the Day of judgment and he would not carry the weight to the eye of Allah equal even to that of a gnat. Nor shall We set up a balance for them on the Day of Resurrection"" (xviii. 105).",Uncategorized
muslim,53,Anas b. Malik reported:,The Paradise is surrounded by hardships and the Hell-Fire is surrounded by temptations.,Uncategorized
muslim,54,Zainab bint Jahsh reported that Allah's Apostle (ﷺ) got up from sleep saying:,"There is no being worthy of worship except Allah; there is a destruction in store for Arabia because of turmoil which is at hand, the barrier of Gog and Magog has opened so much. And Sufyan made a sign of ten with the help of his hand (in order to indicate the width of the gap) and I said: Allah's Messenger, would we be perished in spite of the fact that there would be good people amongst us? Thereupon he said: Of course, but only when the evil predominates.",Salat
muslim,55,Abu Huraira reported Allah's Messenger (ﷺ) as saying:,The world is a prison-house for a believer and Paradise for a non-believer.,Uncategorized
muslim,56,Hammim b. Munabbih reported:,"This is what Abu Huraira reported to us from Allah's Messenger (ﷺ) and in this connection he narrated some of the ahadith and Allah's Messenger (ﷺ) said: It was said to people of Israel: Enter this land saying Hitta (Remove Thou from us the burden of our sins), whereupon We would forgive you your sins, but they twisted (this statement) and entered the gate dragging upon their breech and said: The"" grain in the ear.""",Uncategorized
nasai,1,It was narrated from Abu Hurairah that the Prophet (ﷺ) said:,"""When any one of you wakes from sleep, let him not dip his hand in (the water he uses for) his Wudu' until he has washed it three times, for none of you knows where his hand spent the night.""",Uncategorized
nasai,2,"It was narrated from Ibn 'Abbas that one of the wives of the Prophet (ﷺ) performed Ghusl from Janabah, and the Prophet (ﷺ) performed Wudu' with her leftover water. She mentioned that to him and he said:","""Water is not made impure by anything."" [1][1] See the following versions.",Uncategorized
nasai,3,It was narrated that 'Aishah said:,"""We went out with the Messenger of Allah (ﷺ) with no intention other than Hajj. When he was in Sarif I began menstruating. The Messenger of Allah (ﷺ) entered upon me and I was weeping. He said: 'What is the matter with you? Has you Nifas begun?' I said: 'Yes.' He said: 'This is something that Allah the Mighty and Sublime has decreed for the daughters of Adam. Do what the pilgrims do but do not perform Tawaf around the House.'""",Uncategorized
nasai,4,Abu Hurairah said:,"""The Messenger of Allah (ﷺ) said: 'None of you should perform ghusl in standing water while he is Junub.'""",Uncategorized
nasai,5,"It was narrated from Anas bin Malik, from Malik bin Sa'sa'ah, that the Prophet (ﷺ) said:","""While I was at the Ka'bah, in a state between sleep and wakefulness, three men came, and one of them who was in the middle came toward me. I was brought a basin of gold, filled with wisdom and faith, and he slit open from the throat to the lower abdomen, and washed the heart with Zamzam water, then - ""it was filled with wisdom and faith. Then I was brought a riding-beast, smaller than a mule and bigger than a donkey. I set off with Jibril, peace be upon him, and we came to the lowest heaven. It was said: 'Who is with you?' He said: 'Muhammad.' It was said: 'Has (revelation) been sent to him? Welcome to him, what an excellent visit his is.' I came to Adam, peace be upon him, and greeted him, and he said: 'Welcome to you! What an excellent son and Prophet.' Then we came to the second heaven and it was said: 'Who is this?' He said: 'Jibra'il.' [1] It was said: 'Who is with you?' he said: 'Muhammad.' And the same exchange took place. I came to Yahya and 'Eisa, peace be upon them both, and greeted them, and they said: 'Welcome to you! What an excellent brother and Prophet.' Then we came to the third heaven and it was said: 'Who is this?' He said: 'Jibra'il.' It was said: 'Who is with you?' He said: 'Muhammad.' And the same exchange took place. I came to Yusuf, peace be upon him, and greeted him, and he said: 'Welcome to you! What an excellent brother and Prophet.' Then we came to the fourth heaven and the same exchange took place. I came to Idris, peace be upon him, and greeted him, and he said: 'Welcome to you! What an excellent brother and Prophet.' Then we came to the fifth heaven and the same exchange took place. I came to Harun, peace be upon him, and greeted him, and he said: 'Welcome to you! What an excellent brother and Prophet.' Then we came to the sixth heaven and the same exchange took place. I came to Musa, peace be upon him, and greeted him, and he said: 'Welcome to you! What an excellent brother and Prophet.' What I passed him, he wept, and it was said: 'Why are you weeping?' He said: 'O Lord, this young man whom You have sent after me, more of his Ummah will enter Paradise than from my nation, and they will be more virtuous than them.' Then we came to the seventh heaven and a similar exchange took place. I came to Ibrahim, peace be upon him, and greeted him, and he said: 'Welcome to you! What an excellent son and Prophet.' Then I was taken up to the Oft-Frequented House (Al-Bait al-Ma'mur) and I asked Jibra'il about it, and he said: 'This is Al-Bait al-Ma'mur in which seventy thousand angels pray everyday, and when they leave it they never come back.' Then I was taken up to Sidrah Al-Muntaha (the Lote-Tree of the Utmost Boundary). Its fruits were like Qilal [2] of Hajar and its leaves were like the ears of elephants. At its base were four rivers: Two hidden rivers and two manifest rivers. I asked Jibril (About them) and he said: 'The two hidden ones are in paradise, and the two manifest ones are the Euphrates and the Nile.' Then fifty prayers were enjoined upon me. I came to Musa and he said: 'What happened?' I said: 'Fifty prayers have been enjoined upon me.' He said: 'I know more about the people than you. I tried hard with the Children of Israel. Your Ummah will never be able to bear that. Go back to your Lord and ask Him to reduce it for you.' So I went back to my Lord and asked Him to reduce it, and He made it forty. Then I went back to Musa, peace be upon him, and he said: 'What happened?' I said: 'He made it forty.' He said to me something similar to what he said the first time, so I went back to my Lord and He made it thirty. I came to Musa, peace be upon him, and told him, and he said to me something similar to what he said the first time, so I went back to my Lord and he made it twenty, then ten, then five. I came to Musa, peace be upon him, and he said to me something like he had said the first time, but I said: 'I feel too shy before my Lord to go back to Him.' Then it was called out: 'I have decreed (the reward for) My obligation, and I have reduced the burden for My slaves and I will give a ten-fold reward for each good deed.'""

[1] It is like this here, while it is Jibra'il the first time it appears in this narration, and Jibra'il is often used in the Hadith literature.

[2] Plural of Qullah",Shahada
nasai,6,It was narrated from Ibn Shihab that 'Umar bin 'Abdul-'Aziz delayed the 'Asr prayer a little. 'Urwah said to him:,"""Jibril came down and led the Messenger of Allah (ﷺ) in prayer."" 'Umar said: ""Watch what you are saying, O 'Urwah!"" He said: ""I heard Bashir bin Abi Mas'ud say: 'I heard Abu Mas'ud say: ""I heard the Messenger of Allah (ﷺ) say: 'Jibril came down and led me in prayer, and I prayed with him, then I prayed with him, then I prayed with him, then I prayed with him, then I prayed with him - and he counted off five prayers on his fingers.'""",Salat
nasai,7,Nafi' narrated that 'Abdullah bin 'Umar used to say:,"""When the Muslims arrived in Al-Madinah they used to gather and try to figure out the time for prayer, and no one gave the call to prayer. One day they spoke about that; some of them said: 'Let us use a bell like the Christians do;' others said, 'No, a horn like the Jews have.' 'Umar, may ,Allah be pleased with him, said: 'Why don't you send a man to announce the time of prayer?' The Messenger of Allah (S.A.W) said: 'O Bilal, get up and give the call to prayer.'""",Salat
nasai,8,It was narrated from 'Amr bin 'Abasah that the Messenger of Allah (ﷺ) said:,"""Whoever builds a Masjid in which Allah is remembered, Allah, (the Mighty and Sublime) will build for him a house in Paradise.""",Uncategorized
nasai,9,Narrated Al Bara bin Azib:,"Al Bara bin Azib said: The messenger of Allah (peace be upon him) came to Al-Madinah and prayed toward Bait-al-Maqdis for sixteen months, then he was commanded to pray toward the Ka'bah. A man who had prayed with the prophet (peace be upon him)passed by some of the Ansar and said: ""I bear witness that the messenger of Allah (peace be upon him) has been commanded to face toward the Ka'bah. So they turned to face the Ka'bah"".",Uncategorized
nasai,10,It was narrated that 'Abdullah said:,"""When the Messenger of Allah(ﷺ) passed away, the Ansar said: 'Let there be an Amir from among us and an Amir from among you.' Then 'Umar came to them and said: 'Do you not know that the Messenger of Allah(ﷺ) commanded Abu Bakr to lead the people in prayer? Who mong you could accept to put himself ahead of Abu Bakr?' They said: 'We seek refuge with Allah from putting ourselves ahead of Abu Bakr.""'",Salat
nasai,11,It was narrated that Ibn Umar said:,"I saw the Messenger of Allah (ﷺ) when he said the opening Takbir of the prayer, raise his hands until they were level with his shoulders. When he said the Takbir before bowing he did likewise, and when he said: 'Sami Allahu liman hamidah (Allah hears those who praise Him),' he did likewise, then he said: 'Rabbana wa lakal-hamd (Our Lord, to You be praise).' But he did not do that when he prostrated or when he raised his head from prostration.",Salat
nasai,12,It was narrated from 'Alqamah and Al-Aswad that:,"They were with 'Abdullah in his house and he said: ""Have these people prayed?"" We said: ""Yes."" So he led them in prayer and stood between them, with no Adhan and no Iqamah, and said: ""If you are three then do this, and if you are more than that then let one of you lead the others in prayer, and let him lay his hands on his thighs. It is as if I can see the fingers of the Messenger of Allah (ﷺ), interlaced.'""",Salat
nasai,13,It was narrated that 'Abdur-Rahman bin Al-Asamm said:,"""Anas bin Malik was asked about the takbir in the prayer. He said: ""The takbir should be said when bowing, when prostrating, when raising one's head from prostration and when standing up following the first two rak'ahs.' Hutaim said: 'From whom did you learn this?' He said: 'From the Prophet (ﷺ), Abu Bakr and 'Umar, may Allah (SWT) be pleased with them.' Then he fell silent and Hutaim said to him: 'And 'Uthman?' He said: 'And 'Uthman.'""",Salat
nasai,14,It was narrated that Abu Hurairah said:,"""The Messenger of Allah (ﷺ) said: 'We are the last (to come) but will be the foremost on the Day of Resurrection, but they were given the Book before us and we were given it after them. They differed concerning this day which Allah, the Mighty and Sublime, had prescribed for them and Allah, the Mighty and Sublime, guided us to""--meaning Friday--""so the people follow us, the Jews the next day and the Christians the day after that.'""",Uncategorized
nasai,15,It was narrated that Ya'la bin Umayyah said:,"""I said to 'Umar bin Al-Khattab: 'There is no sin on you if you shorten salah and if you fear that the disbelievers may put you in trial (attack you). But now the people are safe.' 'Umar said: 'I wondered the same thing, so I asked the Messenger of Allah (ﷺ) about that and he said: This is a favor from Allah (SWT) to you, so accept His favor.""",Uncategorized
nasai,16,It was narrated that Abu Bakrah said:,"""The Messenger of Allah (ﷺ) said: 'The sun and moon are two signs of Allah (SWT), the Most High, and they do not become eclipsed for death or birth of anyone, rather Allah (SWT), the Mighty and Sublime, strikes fear into His slaves through them.'""",Uncategorized
nasai,17,It was narrated that Anas bin Malik said:,"""A man came to the Messenger of Allah (ﷺ) and said: 'O Messenger of Allah, the livestock have died and the routes have been cut off; pray to Allah (SWT), the Mighty and Sublime.' So the Messenger of Allah (ﷺ) prayed to Allah (SWT) and it rained from that Friday until the next. Then a man came to the Messenger of Allah (ﷺ) and said: 'The houses have been destroyed, the routes have been cut off and the livestock have died.' He said: 'O Allah, on the tops of the mountains and hills, in the bottom of the valleys and where the trees grow.' So (the rain) was lifted from Al-Madinah like a garment being removed.""",Uncategorized
nasai,18,It was narrated that Tha'labah bin Zahdam said:,"""We were with Sa'eed bin Al-'Asi in Tabaristan, and Hudhaifah bin Al-Yaman was with us. He said: 'Which of you offered the fear prayer with the Messenger of Allah (ﷺ)?' Hudhaifah said: 'I did', and he described it. He said: 'The Messenger of Allah (ﷺ) offered the fear prayer, leading one group who had formed rows behind him in praying one rak'ah, while the other group was between him and the enemy. So he led the group that was near him in praying one rak'ah, then they left and took the place of others, and the others came and he led them in praying one rak'ah.'""",Salat
nasai,19,It was narrated that Anas bin Malik said:,"""The people of the Jahiliyyah had two days each year when they would play. When the Messenger of Allah (ﷺ) came to Al-Madinah he said: 'You had two days when you would play, but Allah (SWT) has given Muslims something instead that is better than them: the day of Al-Fitr and the day of Al-Adha.'""",Uncategorized
nasai,20,It was narrated from Nafi' that Abdullah bin Umar said:,"""Pray in your houses and do not make them like graves.""",Uncategorized
nasai,21,It was narrated from Abu Hurairah that the Messenger of Allah said:,"""None of you should wish for death. Either he is a doer of good, so perhaps he may do more good, or he is an evildoer but perhaps he will give up his evil ways.""",Uncategorized
nasai,22,It was narrated from Talhah bin 'Ubaidullah that:,"a Bedouin came to the Messenger of Allah with unkempt hair and said: ""O Allah has enjoined upon me of Salah."" He said: ""The five daily prayers, unless you do any more voluntarily."" He said: ""Tell me what Allah has enjoined upon me voluntarily."" He said: ""Tell me what Allah has enjoined upon me of fasting."" He said: ""Fasting the month of Ramadan, unless you do any more voluntarily."" He said: ""Tell me what Allah has enjoined upon me of Zakah."" The Messenger of Allah told him of the laws of Islam, He said: ""By the One Who has honored you, I will not do anything voluntarily, and I will not do anything voluntarily, and I will not do less than that which Allah has enjoined upon, me: The Messenger of Allah said: ""He will succeed if he is sincere,"" or ""He will enter Paradise if he is sincere.""",Salat
nasai,23,It was narrated that Ibn 'Abbas said:,"""The Messenger of Allah said to Mu'adh when he sent him to Yemen: 'You are going to some of the People of the book. When you come to them, call them to testify that there is none worthy of worship except Allah and that Muhammad is the Messenger of Allah. If they obey you in that, then tell them that Allah, the Mighty and Sublime, has enjoined on them a charity (Zakah) to be taken from their rich and given to their poor. If they obey you in that, then beware of the supplication of the oppressed person.""'",Salat
nasai,24,It was narrated that Abu Hurairah said:,"""The Messenger of Allah addressed the people and said: 'Allah, the Mighty and Sublime, has enjoined upon you Hajj.' A man said: 'Every year?' He remained silent until he had repeated it three times. Then he said: 'If I said yes, it would be obligatory, and if it were obligatory you would not be able to do it. Leave me alone so long as I have left you alone. Those who came before you were destroyed because they asked too many questions and differed with their prophets. If I command you to do something then follow it as much as you can, and if I forbid you to do something then avoid it.""'",Uncategorized
nasai,25,Narrated It was narrated that Ibn Abbas said:,"“When the Prophet was expelled from Makkah, Abu Bakr said to him: ‘They have driven out their Prophet, verily to Allah we belong and to Him we return. They are surely doomed.’ Then it was revealed: ‘Permission to fight (against disbelievers) is given to those (believers) who are fought against, because they have been wronged; and surely, Allah is able to give them (believers) victory.’ Then I knew that there would be fighting.” Ibn Abbas said: “This is the first Verse that was revealed concerning fighting.”",Uncategorized
nasai,26,Narrated 'Ata':,"It was narrated that 'Ata' said: ""We attended the funeral of Maimunah, the wife of the Prophet, with Ibn 'Abbas in Sarif.  Ibn 'Abbas said: 'This is Maimunah; when you lift up her bier, do not rock it nor shake it.  The Messenger of Allah had nine wives and he used to give a share of his time to eight of them and not to one.'""",Uncategorized
nasai,27,"Nafi' narrated from 'Abdullah, that he divorced his wife while she was menstruating. 'Umar asked the Messenger of Allah about that and said:","""Abdullah has divorced his wife while she was menstruating."" He said: ""Tell 'Abdullah to take her back, then leave her until she becomes pure from this menstrual period, then menstruates again, then when she becomes pure again, if he wishes he may separate from her before having intercourse with her, or if he wishes he may keep her. This is the time when Allah, the Mighty and Sublime, has stated that women may be divorced.""",Uncategorized
nasai,28,It was narrated that Salamah bin Nufail Al-Kindi said:,"""I was sitting with the Messenger of Allah when a man said: 'O Messenger of Allah! The people have lost interest in horses and put down their weapons, and they say there is no Jihad, and that war has ended.' The Messenger of Allah turned to face him and said: 'They are lying, now the fighting is to come. There will always be a group among my Ummah who will fight for the truth, for whom Allah will cause some people to deviate, and grant them provision from them, until the Hour begins and until the promise of Allah comes. Goodness is tied to the forelocks of horses until the Day of Resurrection. It has been revealed to me that I am going to die and will not stay long, and you will follow me group after group, striking one another's necks. And the place of safety for the believers is Ash-Sham.'""",Uncategorized
nasai,29,It was narrated that 'Amr bin Al-Harith said:,"""The Messenger of Allah did not leave behind a Dinar nor a Dirham, or any slave, male or female; except his white mule which he used to ride, his weapon and some land which he left to be used for the cause of Allah."" (One of the narrators) Qutaibah said on one occasion: ""In charity.""",Zakat
nasai,30,It was narrated that Abu Hurairah said:,"""A man came to the Prophet and said: 'O Messenger of Allah, what kind of charity brings the greatest reward?' He said: 'To give in charity when you are healthy and feeling miserly, and fearing poverty and hoping for a long life. Do not wait until the (death rattle) reaches the throat and then say: ""This is for so and so,"" and it nearly became the property of so and so (the heirs).'""",Zakat
nasai,31,"It was narrated from An-Nu'man bin Bashir that his father gave him a slave as a present, then he came to the Prophet to ask him to bear witness (to that). He said:","""Have you given a present to all of your children?"" He said: ""No."" He said: ""Then take it back."" This wording is that of (one of the narrators) Muhammad.",Uncategorized
nasai,32,"It was narrated from 'Amr bin Shu'aib, from his father, that his grandfather said:","""We were with the Messenger of Allah when the delegation of Hawazin came to him and said: 'O Muhammad! We are one of the 'Arab tribes and a calamity has befallen us of which you are well aware. Do us a favor, may Allah bless you.' He said: 'Choose between your wealth or your women and children.' They said: 'You have given us a choice between our families and our wealth; we choose our women and children.' The Messenger of Allah said: 'As for that which was allocated to myself and to Banu 'Abdul-Muttalib, it is yours. When I have prayed Zuhr, stand up and say: ""We seek the help of the Messenger of Allah in dealing with the believers, or the Muslims, with regard to our women and children.""' So when they prayed Zuhr, they stood up and said that. The Messenger of Allah said: 'As for that which was allocated to myself and to Banu 'Abdul-Muttalib, it is yours.' The Muhajirun said: 'That which was allocated to us is for the Messenger of Allah.' The Ansar said: 'That which was allocated to us is for the Messenger of Allah.' Al-Aqra' bin Habis said: 'As for myself and Banu Tamim, then no (we will not give it up).' 'Uyaynah bin Hisn said: 'As for myself and Banu Fazarah, then no (we will not give it up).' Al-'Abbas bin Mirdas said: 'As for myself and Banu Sulaim, then no (we will not give it up).' Banu Sulaim stood up and said: 'You lied; whatever was allocated to us, it is for the Messenger of Allah.' The Messenger of Allah said: 'O people, give their women and children back to them. Whoever gives back anything of these spoils of war, he will have six camels from the spoils of war that Allah grants us next.' Then he mounted his riding-animal and the people surrounded him, saying: 'Distribute our spoils of war among us.' They made him go back toward a tree on which his Rida' (upper-wrap) got caught. He said: 'O people! Give me back my Rida'. By Allah! If there were cattle as many in number as the trees of Tihamah I would distribute them among you, then you would not find me a miser, a coward or a liar.' Then he went to a camel and took a hair from its hump between two of his fingers and said: 'Look! I do not have any of the spoils of war. All I have is the Khums, and the Khums will be given back to you.' A man stood up holding a ball of yarn made from goat hair and said: 'O Messenger of Allah, I took this to fix my camel-saddle.' He said: 'What was allocated to myself and to Banu 'Abdul-Muttalib is for you.' He said: 'Is this so important? I don't need it!' And he threw it down. He said: 'O people! Give back even needles large and small, for Al-Ghulul will be (a source of) shame and disgrace for those who took it on the Day of Resurrection.'""",Uncategorized
nasai,33,Hilal bin Al-'Ala' informed us:,"""My father narrated to us: Ubaidullah -he is, Ibn 'Amr- narrated to us, from Sufyan, from Ibn Abi Najih, from Tawus, from Zaid bin Thabit, that the Prophet said: 'Ar-Ruqba is permissible.'""",Uncategorized
nasai,34,It was narrated from Zaid bin Thabit that the Prophet said:,"""'Umra (a gift given for life) belongs to the heir.""",Uncategorized
nasai,35,It was narrated that Ibn 'Umar said:,"""The oath by which the Messenger of Allah used to swear was: 'No, by the Controller of the hearts.'""",Uncategorized
nasai,36,It was narrated that Anas said:,"""The Messenger of Allah said: 'In this world, women and perfume have been made dear to me, and my comfort has been provided in prayer.'""",Salat
nasai,37,It was narrated from Anas bin Malik that:,"The Prophet [SAW] said: ""I have been commanded to fight the idolators until they bear witness to La ilaha illallah (there is none worthy of worship except Allah) and that Muhammad is His slave and Messenger. If they bear witness to La ilaha illallah and that Muhammad is His slave and Messenger, and they pray as we pray and face our Qiblah, and eat our slaughtered animals, then their blood and wealth becomes forbidden to us except for a right that is due.""",Salat
nasai,38,It was narrated from Yazid bin Hurmuz that:,"when Najdah Al-Haruriyyah rebelled during the Fitnah of Ibn Zubayr, he sent word to Ibn 'Abbas asking him about the share of the relatives (of the Messenger of Allah) -to whom did he think it should be given? He replied: ""It is for us, because of our blood ties to the Messenger of Allah allocated it to them, but 'Umar offered us something we thought was less than what was our due, and we refused to accept it. What he offered to them who wanted to get married, and to help the debtors pay off their debts, and he gave to their indigent. But he refused to give them more than that.""",Uncategorized
nasai,39,It was narrated that 'Ubadah bin As-Samit said:,"""We pledged to the Messenger of Allah to hear and obey, both in times of ease and hardship, when we felt energetic and when we felt tired, that we would not contend with the orders of whomever was entrusted with it, that we would was entrusted with it, that we would stand firm in the way of truth wherever we may be, and that we would not fear the blame of the blamers.""",Uncategorized
nasai,40,"It was narrated from 'Amr bin Shuaib, from his fahther, that his grandfather said:","""The messenger of Allah was asked about the 'Aqiqah and he said: ""Allah, the mighty and sublime, does not like Al-Uquq' as if he disliked the word (Al-Aqiqah). He said to the Messenger of Allah: 'But one of us may offer a sacrifice when a child is born to him.' He said: 'Whoever wants to offer a sacrifice for his child, let him do so, for a boy; two sheep, Mukafaatan, (of equal age), and for a girl, one.' (One of the narrators) Dawud said: 'I asked Ziad bin Aslam about the word Mukafaatan and he said: 'Two similar sheep that are slaughtered together.",Uncategorized
nasai,41,It was narrated from Abu Hurairah that the Messenger of Allah said:,"""There is no fara' and no' Atirah.""",Uncategorized
nasai,42,It was narrated from 'Adiyy bin Hatim that:,"he asked the Messenger of Allah about hunting. He said: ""When you release your dog, mention the name of Allah over him, and if you catch up with him and he has not killed (the game), then slaughter it and mention the name of Allah over it. If you catch up with him and he has killed (the game) but has not eaten any of it, then eat, for he caught it for you. If you find that the has eaten some of it, then do not eat any of it for he caught it for himself. If there are other dogs with your dog and they have killed (the game) but have not eaten any of it, then do not eat any of it, because you do not know which of them killed it.""",Uncategorized
nasai,43,It was narrated from Ummm Salamah that the Prophet said:,"""Whoever sees the new crescent of Dhul-Hijjah and wants to offer a sacrifice, let him not remove any of his hair or nails until he has offered the sacrifice.""",Uncategorized
nasai,44,It was narrated that 'Aishah said:,"""The Messenger of Allah said: ""The best (most Pure) food that a man eats is that which he has earned himself, and a man's child (and his child's wealth) is part of his earnings"" (Sahih )",Uncategorized
nasai,45,It was narrated that Ibn 'Abbas said:,"""The first instance of Qasamah during the Jahiliyyah involved a man from Banu Hashim who was employed by a man from Quraish, from another branch of the tribe. He went out with him, driving his camels and another man from Banu Hashim passed by them. The leather rope of that man's bag broke, so he said (to the hired worker): 'Help me by giving me a rope with which to tie the handle of my bag, lest the camels run away from me. 'So he gave him a rope and he tied his gab with it. When they halted, all the camels' legs were hobbled except one camel. The one who had hired him said: 'Why is his camel, out of all of them, not hobbled? He said: 'There is no rope for it. He said: 'Where is its rope? He said: A man from Banu Hashim passed by and the leather rope of his bag had broken, and he asked me to help him; he said: ""Help me by giving me a rope with which to tie the handle of my bag lest the camels run away from me, so I gave him a rope . "" He struck him with a stick, which led to his death.Then a man from Yemen passed by him (the man from Banu Hashim, (the man from Banu Hashim, just before he died) and he (the Hashimi man) said: 'Are you going to attend the Pilgrimage? He said: 'I do not think I will attend it, but perhaps I will attend it.' He said: 'Will you convey a message from me once in your lifetime? He said: 'Yes. 'He said: 'If you attend the pilgrimage, then call out, O family of Quraish! If they respond, then call out, O family of Hashim! If they respond, then ask for Abu Talib, and tell him that so and so killed me for a rope.' Then the hired worker died. When the one who had hired him cam, Abu Talib went to him and said: 'What happened to our companion? He said: 'He fell sick and I took good care of him, but he died, so I stopped and buried him.' He said: 'He deserved that from you. 'Some time passed, then the Yemeni man who had been asked to convey the message arrived at the time of the pilgrimage. He said: 'O family of Quraish! And they said: 'Here is Quraish.' He said: 'O family of Banu Hashim! They said: 'Here is Banu Hashim.' He said"" 'Where is Abu Talib? He said: 'Here is Abu Talib.' He said: 'so and so asked me to convey a message to you, that so and so killed him for a camel's rope.' Abu Talib went to him and said"" 'Choose one of three alternatives that we are offering you. If you wish, you may give us one hundred camels, because you killed our companion by mistake: or if you wish, fifty of your men may swear an oath that you did not kill him; or if you wish, we will kill you in retaliation. 'He went to his people and told them about that, and they said: 'We will swear the oath.' Then a woman from Banu Hashim, who was married to one of their men and had born him a child, came to Abu Talib and said:' O Abu Talib, I wish that my son, who is one of these fifty men, should be excused from having to take the oath., So the excused him. Then one of the men came to him and said: 'O Abu Talib, you want fifty men to take the oath in lieu of one hundred camels, which means that each man may give two camels instead, so here are two camels; take them from me, and do not make me take the oath.' So he accepted them, and did not make him take the oath. Then forty-eight men came and took the oath."" Ibn 'Abbas said: ""By the One in Whose hand is my soul, by the time a year has passed, none of those forty-eight men remained alive.""",Hajj
nasai,46,It was narrated from abu Hurairah that the Messenger of Allah said:,"""No one who commits Zina is a believer at the moment when he is committing Zina; no one who steals is a believe at the moment when he is stealing; no one who drinks wine is a believer at the moment when he is drinking it; and no robber is a believer at the moment when he is robbing and the people are looking on.",Uncategorized
nasai,47,It was narrated from Abu Hurairah that:,"The Messenger of Allah [SAW] was asked: ""Which deed is best?"" ""He said: Faith in Allah [SWT] and His messenger [SAW].""",Shahada
nasai,48,It was narrated from 'Aishah that:,"The Messenger of Allah [SAW] said: ""Ten things are part of the Fitrah: Trimming the mustache, trimming the nails, washing the joints, letting the beard grow, using the Siwak, rinsing the nose, plucking the armpit hairs, shaving the pubes, and washing with water (after relieving oneself)."" Mus'ab bin Shaibah said: ""I have forgotten the tenth, unless it was rinsing the mouth.""",Uncategorized
nasai,49,It was narrated from 'Abdullah bin 'Amr bin Al-'As that:,"The Prophet [SAW] said: ""Those who are just and fair will be with Allah, Most High, on thrones of light, at the right hand of the Most Merciful, those who are just in their rulings and in their dealings with their families and those of whom they are in charge."" Muhammad (one of the narrators) said in his Hadith: ""And both of His hands are right hands.""",Uncategorized
nasai,50,It was narrated from Mu'adh bin 'Abdullah that his father said:,"""It was raining and dark, and we were waiting for the Messenger of Allah [SAW] to lead us in prayer. Then the Messenger of Allah [SAW] came out to lead us in prayer and he said: 'Say.' I said: 'What should I say?' He said: 'Say: He is Allah, (the) One and Al-Mu'awwadhatain in the evening and in the morning, three times, and that will suffice you against everything.'""",Salat
nasai,51,It was narrated from 'Umar that:,"When the prohibition of Khamr was revealed, 'Umar said: ""O Allah, give us a clear ruling on Khamr,"" and the Verse in Al-Baqarah was revealed. 'Umar was called and it was recited to him. Then 'Umar said: ""O Allah, give us a clear ruling on Khamr,"" and the Verse in An-Nisa' was revealed: ""O you who believe! Approach not As-Salah (the prayer) when you are in a drunken state"". And when the Iqamah for prayer was said, the caller of the Messenger of Allah [SAW] would cry out: ""O you who believe! Approach not As-Salah (the prayer) when you are in a drunken state."" 'Umar was called and this was recited to him. Then he said: ""O Allah, give us a clear ruling on Khamr."" Then the Verse in Surat Al-Ma'idah was revealed, and 'Umar was called, and it was recited to him. When he reached the words, ""So, will you not then abstain?,"" 'Umar said: ""We have abstained, we have abstained.""",Salat
abudawud,1,Narrated Mughirah ibn Shu'bah:,"When the Prophet (ﷺ) went (outside) to relieve himself, he went to a far-off place.",Uncategorized
abudawud,2,Talhah b. 'Ubaid Allah said:,"A man from among the people of Najd with disheveled hair came to the Messenger of Allah (ﷺ). The humming sound of his voice could be heard but what he was saying could not be understood. He came closer and it was then known that he was asking about Islam. The Messenger of Allah (ﷺ) said: Five times of prayer each day and night: He asked: Must I observe any more than them? He replied: No, unless you do it voluntarily. He (Talhah) said that the Messenger of Allah (ﷺ) mentioned fasting during the month of Ramadan. He asked: Must I observe anything else? He replied: No, unless you do it voluntarily. The Messenger of Allah (ﷺ) mentioned Zakat to him. He asked: Must I pay anything else? He replied: No, unless you do it voluntarily. The man then turned away saying: I swear by Allah, I shall not add anything to this or fall short of it. The Messenger of Allah (ﷺ) said: The man will be successful if he speaks truth.",Salat
abudawud,3,Abbad b. Tamim (al-Muzini) reported on the authority of his uncle:,"The Messenger of Allah (ﷺ) took the people out (to the place of prayer) and prayed for rain.  He led them in two rak'ahs of prayer in the course of which he recited from the Qur'an in a loud voice.  He turned around his cloak and raised his hands, prayed for rain and faced the qiblah",Salat
abudawud,4,"Narrated Aisha, Ummul Mu'minin:",The prayer was prescribed as consisting of two rak'ahs both when one was resident and when travelling. The prayer while travelling was left according to the original prescription and the prayer of one who was resident was enhanced.,Salat
abudawud,5,Narrated Umm Habibah:,"The Prophet (ﷺ) as saying: If anyone prays in a day and a night twelve rak'ahs voluntarily (supererogatory prayer), a house will be built from him in Paradise on account of these (rak'ahs).",Salat
abudawud,6,Narrated Abu Hurairah:,"The Messenger of Allah (ﷺ) used to commend prayer at night during Ramadan, but did not command it as duty. He would say: If anyone prays during the night in Ramadan because of faith and seeking his reward from Allah, his previous sins will be forgiven for him. When the Messenger of Allah (ﷺ) died, this was the practice, and it continued thus during Abu Bakr's caliphate and early part of 'Umar's.Abu Dawud said: This tradition has been transmitted by 'Uqail, Yunus, and Abu Uwais in like manner. The version of 'Uqail goes: He who fasts during Ramadan and prays during the night.",Shahada
